AIDomainName1,AIDomainName2,AICompanyName,AIProductName,AICategory,AICountry,AIFileKeywordMatch
*prowritingaid.com*,*prowritingaid.com*,ProWritingAid,ProWritingAid,Text Editing,United Kingdom,*heygen-studio*
*quillbot.com*,*quillbot.com*,QuillBot,QuillBot,Text Paraphrase,United States,*huggingface-hub*
*rasa.com*,*rasa.com*,Rasa,Rasa,Chatbot/LLM,Germany,*image2image-stable*
*rawshorts.com*,*rawshorts.com*,Raw Shorts,Raw Shorts,Video AI,United States,*invoke-ai*
*remove.bg*,*remove.bg*,Kaleido,remove.bg,Image Background Remove,Switzerland,*invoke-stable*
*replicate.com*,*replicate.com*,Replicate,Replicate,AI Model Hosting,United States,*invokeai*
*riffusion.com*,*riffusion.com*,Riffusion,Riffusion,Audio/AI Music,United States,*jupyter-copilot*
*runwayml.com*,*runwayml.com*,Runway,Runway,Video/Creative AI,United States,*kandinsky*
*rytr.me*,*rytr.me*,Rytr,Rytr,Text Generation,United States,*kohya-ss*
*skylum.com*,*skylum.com*,Skylum,Luminar AI,Image Editing,Ukraine,*kohya-trainer*
*slidesai.io*,*slidesai.io*,SlidesAI,SlidesAI,Presentation AI,United States,*latent-diffusion*
*soundraw.io*,*soundraw.io*,Soundraw,Soundraw,Music AI,Japan,*lensa*
*speechify.com*,*speechify.com*,Speechify,Speechify,Text‑to‑Speech,United States,*llama-2-cpp*
*stablediffusionweb.com*,*stablediffusionweb.com*,Stability AI,Stable Diffusion,Image Generation,United States,*llama-cpp*
*sudowrite.com*,*sudowrite.com*,Sudowrite,Sudowrite,Creative Writing AI,United States,*llama2-cpp*
*synthesia.io*,*synthesia.io*,Synthesia,Synthesia,Video AI,United Kingdom,*llava-*
*synthesys.io*,*synthesys.io*,Synthesys,Synthesys,Voice/Video AI,United Kingdom,*llava-vision*
*tabnine.com*,*tabnine.com*,Tabnine,Tabnine,Code LLM,Israel,*llm-deploy*
*textcortex.com*,*textcortex.com*,TextCortex,TextCortex,Text Generation,Bulgaria,*lm-studio*
*textrazor.com*,*textrazor.com*,TextRazor,TextRazor,NLP,United States,*lmdeploy*
*tome.app*,*tome.app*,Tome,Tome,Presentation AI,United States,*lmstudio*
*topazlabs.com*,*topazlabs.com*,Topaz Labs,Topaz AI,Image/Video Enhancement,United States,*luminar-neo*
*trint.com*,*trint.com*,Trint,Trint,Speech‑to‑Text,United States,*megatron-lm*
*uizard.io*,*uizard.io*,Uizard,Uizard,Design AI,Estonia,*meta-audiocraft*
*unbounce.com*,*unbounce.com*,Unbounce,Unbounce Smart Copy,Marketing AI,Canada,*meta-musicgen*
*v0.dev*,*v0.dev*,Vercel,v0,Dev/ML Ops,United States,*meta-seamless*
*veed.io*,*veed.io*,VEED,VEED,Video Editing,United Kingdom,*microsoft-copilot*
*vista.social*,*vista.social*,Vista Social,Vista Social,Social AI,Canada,*midjourney-client*
*vocalid.co*,*vocalid.co*,VocaliD,VocaliD,Voice Synthesis,United States,*midjourney-desktop*
*voiceflow.com*,*voiceflow.com*,Voiceflow,Voiceflow,Voice Conversational AI,Canada,*midjourney*
*wellsaidlabs.com*,*wellsaidlabs.com*,WellSaid Labs,WellSaid,Voice Synthesis,United States,*mistral-ai*
*wisecut.video*,*wisecut.video*,WiseCut,WiseCut,Video Editing,United States,*mistral-chat*
*wordtune.com*,*wordtune.com*,AI21 Labs,Wordtune,Text Editing/LLM,Israel,*mistralai*
*writesonic.com*,*writesonic.com*,Writesonic,Writesonic,Text Generation,United States,*copilot-for*
,,,,,,*koboldcpp*
,,,,,,*mistral-inference*
,,,,,,*openclaw*
,,,,,,*notion-assistant*
,,,,,,*nvidia-stylegan*
,,,,,,*nvidia-tensorrt*
,,,,,,*nvidia-triton*
,,,,,,*ollama-desktop*
,,,,,,*ollama-ui*
,,,,,,*ollama*
,,,,,,*oobabooga-webui*
,,,,,,*oobabooga*
,,,,,,*openai-chat*
,,,,,,*openai-chatgpt*
,,,,,,*openai-clip*
,,,,,,*openai-whisper*
,,,,,,*openjourney*
,,,,,,*perplexity-desktop*
,,,,,,*phi-2*
,,,,,,*photoroom*
,,,,,,*pythia*
,,,,,,*pytorch_model*.bin
,,,,,,*real-esrgan*
,,,,,,*replika*
,,,,,,*riffusion*
,,,,,,*runway-gen*
,,,,,,*runway-ml*
,,,,,,*rwkv-*
,,,,,,*sdnext*
,,,,,,*sdwebui*
,,,,,,*sdxl-base*
,,,,,,*sdxl-refiner*
,,,,,,*sdxl-turbo*
,,,,,,*seamless-m4t*
,,,,,,*seamlessm4t*
,,,,,,*segment-anything*
,,,,,,*so-vits-svc*
,,,,,,*stable-cascade*
,,,,,,*stable-diffusion-ui*
,,,,,,*stable-diffusion-webui*
,,,,,,*stable-diffusion-xl*
,,,,,,*stable-diffusion*
,,,,,,*stable-img2img*
,,,,,,*stable-text2img*
,,,,,,*stablecascade*
,,,,,,*stablediffusion*
,,,,,,*stablelm*
,,,,,,*stylegan3*
,,,,,,*synthesia-studio*
,,,,,,*tensorrt-llm*
,,,,,,*text-generation-webui*
,,,,,,*text2image-stable*
,,,,,,*textgen-webui*
,,,,,,*tokenizer_config.*
,,,,,,*tokenizer.*
,,,,,,*topaz-gigapixel*
,,,,,,*tortoise-tts*
,,,,,,*tortoise-voice*
,,,,,,*transformers-js*
,,,,,,*triton-server*
,,,,,,*vicuna-*
,,,,,,*visual-studio-copilot*
,,,,,,*vocab.txt*
,,,,,,*vscode-copilot*
,,,,,,*wav2lip*
,,,,,,*whisper-cpp*
,,,,,,*whisper-large*
,,,,,,*windows-copilot*
,,,,,,*writesonic*
